Full distribution from 5000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 1250000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
4,396,38237772
7,597,42406568
4,374,40773275
4,470,41663633
4,415,44124597
4,502,45551644
3,438,45793272
3,532,45177326
3,509,41913792
2,388,39993185
4,369,37156148
6,420,33751109
4,426,42523679
10,644,45779170
5,253,34636943
7,425,37557471
3,514,43955485
4,542,47185845
3,431,41199901
6,466,46158969
3,442,39758159
4,425,41189293
5,403,43653130
3,408,42174138
5,426,34836294
3,483,45209821
5,395,38535766
6,452,40835620
4,479,42345492
0,363,39302269
9,435,39731949
8,532,45790560
2,530,46082468
9,590,44104319
2,336,35123187
5,375,40277478
3,386,37252927
5,417,40189013
3,416,39976654
1,480,43006332
7,405,36904952
5,413,43498396
2,418,39002141
2,490,45495852
5,533,44938463
1,416,40295054
9,514,41141355
6,366,41546838
3,430,45133361
5,444,36417201
2,352,32317213
1,456,40351184
7,506,39836554
4,291,35609285
4,467,41606432
7,364,35390761
3,404,41670746
4,479,39293030
5,497,41274801
3,359,38979307
5,410,37714276
4,508,43921008
3,332,39361271
5,495,39381204
5,421,43414228
5,474,39780026
4,457,39609441
6,306,37427909
2,358,36687914
8,480,39164926
5,425,42195675
2,340,34042594
5,537,47944118
3,467,44561204
5,551,44940997
4,433,37649599
2,354,40662097
8,572,39608023
5,444,41389196
4,462,37198768
5,503,40284683
4,474,42128095
8,439,37992348
4,344,35257519
7,524,43258372
6,412,36026345
6,408,37992516
7,448,34292701
6,523,45670470
4,482,42937135
10,396,39907510
2,405,38924857
1,493,41810627
3,557,43894578
2,454,36453212
4,481,40527716
2,429,41447774
2,502,40965423
6,486,47479185
2,417,43935403
4,367,39512586
6,471,40983794
10,418,40787765
2,443,39096278
5,396,40652864
4,391,37368522
5,481,41636164
4,365,36845940
1,459,45831520
7,449,39331667
4,414,38236642
4,583,47130496
4,552,46523704
2,354,40398768
3,302,38371279
5,467,42144623
3,500,43075527
4,379,38656850
10,412,36539231
5,449,39571461
3,366,41449277
5,539,47424398
3,374,43758695
2,447,38092601
5,601,39484459
2,416,33958808
3,368,35677972
7,416,42372732
5,536,42795256
1,420,42334953
3,504,50919723
3,428,40923728
4,471,39753775
3,370,39084789
8,452,38472657
6,468,43723558
3,379,37726679
9,462,40064110
5,368,39172956
2,324,39378556
2,391,40711305
6,525,45835215
6,465,39735795
8,437,39265249
1,480,41964488
4,470,42453576
11,541,41608659
2,428,35431814
6,380,41279716
6,511,41361683
4,340,37658386
3,413,43643703
6,408,37414160
3,438,39094749
2,434,40470758
11,663,47918410
2,464,43044561
7,433,42392364
4,391,39688123
4,482,45563594
3,366,34277474
8,408,40348546
4,453,43293347
5,510,40026202
5,406,32756831
4,366,38704004
3,537,47217805
1,450,37798119
9,488,43370804
5,471,40447149
7,603,45263823
4,533,39855111
4,504,44704876
3,398,37032047
2,385,34810488
4,423,41028468
5,491,39369563
4,436,40800348
6,459,46507913
3,626,47862500
8,368,37963883
6,472,38027709
7,432,43219808
2,391,39605275
6,386,39509972
4,531,40336625
5,459,38277913
7,504,37905963
6,511,38765739
8,490,42121509
7,597,41397625
3,437,37940258
5,530,45259268
3,425,39206161
6,528,44874544
2,422,39247361
2,453,43221087
4,390,34316710
3,520,42942737
6,492,43997463
3,416,35276180
2,336,37093666
6,480,41937164
4,426,41777019
7,620,45631561
3,572,44692002
2,505,43068568
2,427,40047227
1,331,37429025
10,548,44367421
7,509,44470163
4,483,33586375
4,558,46185685
4,382,37479047
4,413,44909643
2,447,43049240
7,461,36457945
3,509,39099040
6,404,36189350
5,554,48066614
2,389,37359195
0,449,42445000
6,388,41099166
5,412,43059585
4,395,40325658
4,447,39270805
1,377,40738157
5,420,40121901
7,428,38353181
2,365,41218310
9,503,44029283
3,424,42359431
5,317,34618272
6,544,47477949
1,352,36455879
8,484,38477763
2,323,34598216
2,354,42488576
5,368,37186067
3,467,42853952
6,447,39071890
5,571,43254665
2,391,37315822
7,386,35286160
7,515,43847751
3,437,41516423
5,416,40381645
3,404,37650302
6,476,38540123
3,469,46914493
6,449,38017949
4,401,37126826
8,524,38258470
4,558,49852143
2,360,38821126
3,385,34919299
4,403,34701414
6,524,41359945
2,553,39277263
6,377,41625336
4,448,42779286
5,390,38936361
4,560,42738824
5,502,42184030
2,360,37794989
5,475,40665905
6,416,39466117
2,404,42976830
3,357,40276428
5,430,41512154
2,456,44027927
7,453,40709508
3,547,40681734
2,458,42020778
4,531,41066309
5,458,41446905
5,530,43625661
3,322,38710703
2,398,40978635
6,452,40407997
5,469,43382733
6,501,39347094
3,370,38915162
3,493,45326184
3,393,38711976
3,483,41907517
6,567,50956104
7,511,42455092
6,550,39381510
5,393,34944643
3,507,41584213
2,508,40697691
3,386,39590540
4,345,38270786
2,417,42501142
1,430,39148294
2,356,37843804
7,538,46418433
3,489,43274203
9,482,37210536
6,473,39029202
8,511,37120327
8,553,43633245
3,382,40734402
2,448,43252183
10,533,45828590
5,442,39241339
7,400,33655430
2,534,41891486
6,455,44388205
5,368,32985754
4,394,38125574
3,376,41797230
5,504,42709217
5,470,40182736
2,573,42964702
6,380,37821462
8,597,44898163
4,497,42023349
9,488,41961393
3,439,35943489
8,550,44810108
3,487,46431823
3,269,32817810
2,583,45124316
3,516,39303471
3,492,40422183
5,486,44341077
7,419,35639743
3,352,36468346
3,520,46687298
1,498,44627561
5,574,50994483
7,511,42129188
6,506,43066912
3,430,37817301
2,348,40421430
6,303,33924511
2,281,33067283
5,486,42831218
10,532,39638724
4,429,40419691
5,478,39909000
7,527,41409715
8,491,43940507
4,480,39528568
4,475,40639216
3,410,42794734
6,506,44183926
5,402,37346235
7,555,45678772
4,471,40916617
7,494,37763348
5,463,36905078
2,361,40988621
2,461,49542268
4,402,43362299
4,407,38420803
2,418,37208063
7,555,45588020
5,273,37880905
3,455,39738279
5,438,37913173
5,432,40512279
3,462,41928630
1,442,40878318
7,416,41546416
8,587,43869969
4,335,36735625
2,465,42521790
7,391,35015846
1,450,40776589
3,372,36745503
7,377,34983798
4,348,33138359
2,492,38284836
6,501,43587920
4,340,34321192
6,473,39038381
2,323,34593840
5,405,36266436
5,502,45234692
3,437,38733260
3,455,38147609
4,439,39371008
3,406,38047778
2,328,36439982
5,510,43163448
2,530,44923204
4,507,40780561
6,535,39745691
7,461,44948577
2,419,39150465
3,394,34866686
6,418,37084308
3,443,41178878
6,603,51646708
7,490,41128043
3,434,37824985
3,404,41134593
6,510,47613058
4,388,34615559
7,442,39773035
3,420,38344970
4,435,45632252
0,324,36002118
5,549,51272801
5,376,41590330
9,403,38738113
2,311,33040606
2,478,41167962
5,418,44876220
1,452,39069129
5,461,38456728
5,551,40361852
7,480,41614924
3,458,42534928
4,416,44910329
7,520,42377015
4,402,35501790
4,462,37396206
6,557,44263231
8,515,37885372
5,471,39013101
